"Inconnu"	"s.l."
"Lucerne, Stadttheater"	"Luzern, Stadttheater"
"Lucerne, Kunsthaus"	"Luzern, Kunsthaus"
"Conservatoire de Lausanne, Studio 233"	"Lausanne, Studio 233 du Conservatoire"
"Conservatoire de Lausanne, Salle des concerts"	"Lausanne, Salle des concerts du Conservatoire"
"Lausanne, Maison du Peuple, Gande salle"	"Lausanne, Maison du Peuple, Grande salle"
"Conservatoire de Lausanne, Grande salle"	"Lausanne, Grande salle du Conservatoire"
"Salle des Amis de l'Instruction"	"Genève, Salle des amis de l'Instruction"
"Genève, Salle de réunions de la nouvelle école des Pâquis"	"Genève, Salle de réunion des Pâquis"
"Genève, Salle de réunion, rue des Eaux-Vives"	"Genève, Salle de réunion des Eaux-Vives"
"Genève, Salle de réunions des Eaux-Vives"	"Genève, Salle de réunion des Eaux-Vives"
"Genève, Salle de [la Réformation?]"	"Genève, Salle de la Réformation"
"Salle de la ""Comédie"""	"Genève, Salle de la ""Comédie"""
"Salle de l'Institut"	"Genève, Salle de l'Institut"
"Genève, Salle centrale"	"Genève, Salle centrale, place de la Madeleine, 10"
"Genève, Promenade du Lac (Jardin anglais)"	"Genève, Promenade du lac (Jardin anglais)"
"Nouveau théâtre ""Olympia"""	"Genève, Nouveau théâtre ""Olympia"""
"Genève, Lyceum de Suisse"	"Genève, Lyceum suisse"
"Genève, Kursaal international"	"Genève, Kursaal"
"Genève, Hôtel National"	"Genève, Hôtel national"
"Genève, Grand Théâtre"	"Genève, Grand théâtre de Genève"
"Genève, Grand Théâtre "	"Genève, Grand théâtre de Genève"
"Ateliers de MM. Sautier & Jaeger, place de la Fusterie, 12"	"Genève, Ateliers de MM. Sautier & Jaeger, place de la Fusterie, 12"
"Ateliers de MM G. Dubach & Cie"	"Genève, Ateliers de MM G. Dubach & Cie"
"Genève, Divers lieux sur le canton"	"Genève (canton)"
"Genève, Divers"	"Genève"
"Genève, Salle du [bord déchiré]"	"Genève"
